Name,Timestamp,Date,Amount Raised,Round,Description,Lead Investor,Category,Source,Valuation,Chains,Other Investors
"Startale Labs",1707177600,"2024-02-06",3500000,"Series A","Web3 infrastructure ","","Infrastructure","https://x.com/techinasia/status/1754697985051541806","63.5","","UVM Signum Blockchain Fund + Sony Network + Samsung Next Ventures"
"GLIF",1707177600,"2024-02-06",4500000,"Seed","Filecoin liquid staking service","Multicoin Capital","Liquid Staking Protocol","https://x.com/glifio/status/1754885675143295202","","Filecoin","Zee Prime Capital + FinTech Collective + Big Brain Holdings + Protocol Labs"
"Omega",1707177600,"2024-02-06",6000000,"Private","decentralized infrastructure that will redefine omnichain & Bitcoin DeFi ","","Infrastructure","https://x.com/Omega_Infra/status/1754913327321358353","","Bitcoin + Ethereum + Arbitrum + Injective","Borderless Capital + Alpha Lab Capital + Psalion + Blockchain.com + Lightspeed Faction + Bankless Ventures + Blockchain Founders Fund + Side Door Ventures + Humla Ventures + XBTO Group + MH Ventures + Wave Digital Assets + Wormhole Crosschain Ecosystem Fund + Hyperithm + Kronos + Cadenza Ventures + Spirit DAO + DCF God + Yano + Popcorn Kirby + Shiliang Tang + ChartFu + OSF + scoopy trooples + Mando + vxH0rny + Jawz + Csaw + Lmbrg + naniXBT + pwnlord69 + John Henderson + David Choi + Rain + FarmerJoe + 0x5f Capital + SoftMoney"
"Merlin Chain",1707091200,"2024-02-05","","Priivate","Bitcoin Layer 2","","L2","https://x.com/MerlinLayer2/status/1754376354064474310","","Bitcoin","OKX Ventures + ABCDE + Foresight Ventures + ArkStream Capital + Antalpha Ventures + Waterdrip Capital + Skyland Ventures + ViaBTC + Vitalbridge + UpHonest Capital + Stratified Capital + OP Crypto + 7 Up DAO + KuCoin Ventures + BAI Capital + LK Venture + WOO Network + Mobox + MH Ventures + Generative Ventures"
"LN Markets",1707091200,"2024-02-05","","Seed"," first instant settlement Bitcoin trading platform","","DEX","https://x.com/Lemniscap/status/1754611100513927596","","Lightning Network","Lemniscap"
"Kodiak Finance",1707091200,"2024-02-05",2000000,"Seed","Berachain's liquidity hub","","DeFi","https://x.com/KodiakFi/status/1754490009368039481","","Berachain","Amber Group + Shima Capital + Build-a-Bera + No Limit Holdings + Ouroboros Capital + Baboon VC + Dao5 + ODA Capital + Kenetic Capital + Dewhales Capital + Tenzor Capital + Lotus Capital + Owl Ventures + Nonce Classic + 3Commas Capital + Wizards Capital + Credo + Block Infinity + blocmates + Dorahacks + Moni + Gainzy + Altcoin Sherpa + naniXBT + Mckenna + Mr.Block + Evan Luthra + John Fiorelli  + Kirby Ong"
"Oobit",1707091200,"2024-02-05",25000000,"Series A","Crypto Payments App","Tether + CMCC Global","Payments","https://x.com/oobit/status/1754509160677351695","","","Anatoly Yakovenko + 468 Capital"
"Nibiru Chain",1707091200,"2024-02-05",12000000,"","general-purpose layer 1 blockchain","","L1","https://x.com/NodeStake_top/status/1754482805931950553","","","Kraken Ventures + Arkstream + NGC Ventures + Master Ventures + Tribe Capital + Banter Capital"
"Stride",1706832000,"2024-02-02",4000000,"Strategic ","Liquid Staking","","Liquid Staking Protocol","https://x.com/stride_zone/status/1753468392428728639","","Stride","1Confirmation + Road Capital + Modular Capital + Imperator + Chorus One + Neel Somani + Yishay Harel + Jon Kol + NoSleepJon + Cem Özer + Mike Neuder + Felix Lutsch + Sam Hart + Zon + MonetSupply"
"Bitlight Labs",1706832000,"2024-02-02","","Seed","infrastructure based on the RGB protocol and Bitcoin Lightning Network","Gate Ventures + HV Capital","Infrastructure","https://x.com/Crypto_Dealflow/status/1753811329024938152?s=20","","Bitcoin","MH Ventures + Fundamental Labs + Oak Grove Ventures + Moonrock Capital + Eureka + Waterdrip Capital + MEXC Ventures + xt.com"
"Hivello",1706832000,"2024-02-02",2500000,"Priivate","streamlining access to decentralized physical infrastructure networks (DePIN)","","Infrastructure","https://x.com/Hivello1/status/1753061540889076027","","","Blockchange Ventures + Cypher Capital Group + MH Ventures + Primal Capital + Contango Digital Assets + Candaq Fintech + NGC Ventures + Blockchain Founders Fund + IDG Capital"
"Pixelmon",1706832000,"2024-02-02",8000000,"Seed","Web3 games","","Gaming","https://x.com/GamesBeat/status/1753221733841064178","","","Animoca Ventures + Delphi Ventures + Amber Group + Bing Ventures + Bitscale Capital + Cypher Capital + Ray Chan + Kun Gao + Robbie Ferguson + Gabby Dizon + Bit2Me + TokoCrypto + Emfarsis + Alex Becker + Faze Banks + Gorilla + Seatin + Loopify + NFTBoi + EllioTrades + Zeneca + Mask Network + Merit Circle + Ordzaar"
"Kip Protocol",1706745600,"2024-02-01","","Strategic ","Web3 base layer for artificial intelligence (AI)","Animoca Ventures","AI","https://x.com/KIPprotocol/status/1753010295889707304","","","B.Army + CSP DAO + MQdao + SkyVision Capital + Purechain Capital"
"Clusters",1706745600,"2024-02-01",9000000,"Seed","Omnichain naming service protocol","","","https://x.com/clustersxyz/status/1753059736172548503","","","Electric Capital + Arca + Variant + Collab+Currency + Arrington XRP Capital + Bloccelerate + Palm Tree Crew + Mask Network + Coinbase Ventures + Polygon Ventures + MetaStreet"
"Velar",1706745600,"2024-02-01",3500000,"Seed","Perpetual DEX on Bitcoin","","DEX","https://x.com/VelarBTC/status/1753071975508168863","","Bitcoin","Bitcoin Startup Lab + CMS + Black Edge Capital + Samara Asset Group + GBV + Trust Machines + Cypher Capital"
"Saltwater Games",1706745600,"2024-02-01",5500000,"Seed","Web3 gaming studio","Deus X + 4RC","Gaming","https://x.com/CoinDesk/status/1753055906290450869","","",""
"Cube",1706745600,"2024-02-01",12000000,"Series A","Hybrid Crypto Exchange","6th Man Ventures","CEX","https://x.com/baalazamon/status/1753042566369440001","","","Foundation Capital + ParaFi Capital + Susquehanna Growth Equity + Everstake Capital + WWVentures + Big Brain Holdings + GSR"
"Reboot World",1706745600,"2024-02-01",2500000,"Seed","Omnichain metaverse powered by generative AI","","Metaverse","https://x.com/RebootDotWorld/status/1752867537933733929","","Ethereum + Solana + Arbitrum + Polygon + Optimism + Avalanche","ZMT Capital + Eureka Capital + DeData Technologies + Signum Capital + PAKA"
"Yet Another Company",1706659200,"2024-01-31",1000000,"Private","A fast trust minimized intent based bridge solution for Ethereum and L2s powered by multi-proof storage proofs","LambdaClass + C2 Ventures + Gagra Ventures","Infrastructure","https://x.com/yetanotherco/status/1752512947958530238","","Ethereum",""
"Squid",1706659200,"2024-01-31",4000000,"Strategic ","secure cross-chain router that enables interoperability between blockchains and apps","Polychain Capital","DEX","https://x.com/squidrouter/status/1752744770646990850","","Ethereum + Arbitrum + Optimism + Linea + Base + Avalanche + Polygon + BNB + Fantom + Moonbeam + Mantle + Scroll + Celo + Kava + Filecoin + Osmosis + Cosmos + dYdX + Celestia + Kujira + Neutron + Stargaze + Axelar","Nomad Capital + North Island Ventures + Maelstrom + Chorus One + The Department of XYZ + Breed VC + Binary Builders + Typhon Ventures + Distributed Global + Fabric Ventures + Node Capital + Chapter One"
"Navi Protocol",1706659200,"2024-01-31",2000000,"","All-in-one Lending, Borrowing, and Liquid-Staking Platform","OKX Ventures + Dao5 + Hashed","DeFi","https://x.com/navi_protocol/status/1752585066721734872?s=20","","Sui","Mysten Labs + Comma3 Ventures + Mechanism Capital + GeekCartel Capital +  Nomad Capital + Coin98 Ventures + Cetus Protocol + Maverick + ViaBTC + Assembly Partners + Gate.io + Hailstone Labs + Benqi Finance + LBank Labs"
"Ithaca Protocol",1706659200,"2024-01-31",2500000,"Pre-Seed","Composable options protocol","Cumberland + Wintermute","decentralized protocol for perpetual options","https://x.com/IthacaProtocol/status/1752681699274887678","","Arbitrum","Room40 Ventures + Ghaf Capital Partners + Andrew Keys + Stan Miroshnik + Georgios Vlachos"
"Puffer",1706572800,"2024-01-30","","Strategic ","decentralized and permissionless native liquid restaking protocol","Binance Labs","Liquid Staking Protocol","https://x.com/BinanceLabs/status/1752316821687181678","","Ethereum",""
"Doubler",1706572800,"2024-01-30","","Seed","Investment strategy protocol","Youbi Capital","DeFi","https://x.com/doubler_pro/status/1752309562412339453","","","Bixin Ventures + Mask Network + Comma3 Ventures + Continue Capital + Sanyuan Capital + Waterdrip Capital + DWF Ventures + Gate Labs + Formless Capital + Momentum Capital + CatcherVC"
"BBOX",1706572800,"2024-01-30",2700000,"Pre-Seed","decentralized derivative trading platform","Hashed + Arrington XRP Capital","DEX","https://x.com/bboexchange/status/1752319433089876439","","Ethereum","ConsenSys + CMS Holdings + Flow Traders + Manifold + Mask Network + Laser Digital"
"Portal",1706572800,"2024-01-30",34000000,"Seed","decentralized infrastructure for peer-to-peer swapping of BTC across different blockchains","","DEX","https://x.com/CoinDesk/status/1752304596158955755","","BTC","Coinbase Ventures + Arrington Capital +  OKX Ventures + Gate Ventures"
"Gevulot",1706486400,"2024-01-29",6000000,"Seed","internet scale compute network for zero-knowledge proof generation and verification","Variant","Zero Knowledge Industry","https://x.com/gevulot_network/status/1751982311652893068","","","RockawayX + Volt Capital + Staking Facilities"
"Forgotten Playland",1706486400,"2024-01-29",7000000,"Private","social party game","","Gaming","https://x.com/ForgotPlayland/status/1751970338554937448","","","Merit Circle + The Spartan Group + C2 Ventures + Paper Ventures"
"TProtocol",1706486400,"2024-01-29","","Angel Round"," blockchain RWA aggregator","","RWA","https://x.com/TProtocol_/status/1751965920300278164","","","Summer Ventures + Matrixport + Spark Digital Capital"
"Infrared",1706486400,"2024-01-29",2500000,"Seed","liquid staking in the context of Proof-of-Liquidity (PoL)","Synergis","Liquid Staking Protocol","https://x.com/InfraredFinance/status/1751968505682092241","","Berachain","NGC Ventures + Tribe Capital + Citizen X + Shima Capital + Dao5 + Sygnum Capital + Ouroboros Capital + Decima + Oak Grove Ventures + Dorahacks + Tenzor Capital + Alex Shin + Albert Chon + Charles Lu + Mr. Block + Chris Spadafora + DCF God"
"Mesh",1706486400,"2024-01-29",5000000,"Private","financial ecosystem that enables users to seamlessly move assets (crypto, equities, etc.) between their disparate financial accounts and wallets","PayPal Ventures","Infrastructure","https://x.com/galaxyhq/status/1751976204641435985","","",""
"PublicAI",1706486400,"2024-01-29",2000000,"Seed","Train-To-Earn Platform Rewards Global Workforce to Build a Large-scale Decentralized AI Training Network","","AI","https://x.com/PublicAI_/status/1751973589879021694","","","IOBC Capital + Foreseight Ventures + Solana Foundation + Everstate Capital"
"imgnAI",1706227200,"2024-01-26",1600000,"Seed","Crypto-native AI image generation platform","Hack VC","AI","https://x.com/imgn_ai/status/1750930716236582984","","","Dao5 + Rana + Selini Capital + West Ham Capital + Motus"
"Sygnum",1706140800,"2024-01-25",40000000,"Strategic ","Crypto Bank","Azimut Holding","Banking","https://x.com/TheBlock__/status/1750322964002648292","900","","Animoca Brands"
"Axiom",1706140800,"2024-01-25",20000000,"","ZK platform empowering smart contract developers to build data-rich, on-chain applications","Paradigm + Standard Crypto","Infrastructure","https://x.com/axiom_xyz/status/1750534080842928284","","","Robot Ventures + Ethereal Ventures + Hasu + Ye Zhang + Haichen Shen + Alex Atallah + Sreeram Kannan + Calvin Liu + cts + Brendan Farmer"
"Octavia",1706140800,"2024-01-25","","Strategic ","web3-based autonomous assistant","","AI","https://x.com/dao_duck/status/1750599205683409186","","","DuckDAO"
"Web3Intelligence",1706140800,"2024-01-25",4500000,"Private","Builder of Dopamine dApp: gamified experience for investment in the decentralized finance (DeFi) world","","DeFi","https://x.com/CoinDesk/status/1750504320880062583","","Ethereum + Polygon + Arbitrum + Solana + Fantom + BNB + Optimism","DAO Maker + Shima Capital + Gate Ventures"
"Synonym Finance",1706054400,"2024-01-24",1500000,"Seed","cross-chain money market","Borderless Capital","DeFi","https://x.com/synonymfinance/status/1750171980803051637","","Arbitrum","Robot Ventures + Big Brain Holdings + Wormhole Crosschain Ecosystem Fund"
"Hyperline",1706054400,"2024-01-24",5200000,"Seed","Web3 Data Lakehouse","Slow Ventures","","https://x.com/hyperline_xyz/status/1749903630415867984","","","South Park Commons + Script Capital + Canonical Crypto + Volt Capital + Picus Capital + Mischief + Maelstrom"
"Dinari",1706054400,"2024-01-24",10000000,"Seed+","Securities Backed Tokens (dShares)","","DeFi","https://x.com/DinariGlobal/status/1749838619903238583","","Arbitrum","500 Global + Balaji Srinivasan + Alchemy + Version One Ventures + Sancus Ventures"
"Masa",1705968000,"2024-01-23",5400000,"Seed","zk-data marketplace and network","Anagram","Digital Identity","https://x.com/getmasafi/status/1749811954607423603","","Ethereum","Avalanche Blizzard Fund + Digital Currency Group + GoldenTree + OP Crypto + Unshackled Ventures + PEER VC"
"Arcade2Earn",1705968000,"2024-01-23",4800000,"Private","GameFi platform","Crypto.com Capital","Gaming","https://x.com/arcade2earn/status/1749876774694211841","","Avalanche + Ethereum","Shima Capital + Solana Ventures + KuCoin Labs + GSR"
"Bagel",1705968000,"2024-01-23",3100000,"Pre-Seed","decentralized data platform aiming to support machine learning models","CoinFund","Web3","https://x.com/bagel_network/status/1749810855498363294","","","Protocol Labs + Borderless Capital + Maven11 + Graph Paper Capital + Breed VC"
"Polymer Labs",1705968000,"2024-01-23",3600000,"Seed","","DistributedG + NorthIslandVC","Infrastructure","https://twitter.com/PolymerDAO/status/1499105644455944192","","Cosmos","Ignite + DCG + Coinbase + Wintermute + The Lao + BlockchainAG + Taureon + Longhash Ventures + Signum Capital + UOB Ventures  + Joe Lallouz + Karim Atiyeh + Martin Mao + Sam Kazemian + Andrew Masanto + Loong Wang"
"Ingonyama",1705968000,"2024-01-23",21000000,"Seed","building a broad range of software libraries and hardware for compute-intensive cryptography","IOSG Ventures + Walden Catalyst + Geometry","Infrastructure","https://x.com/Ingo_zk/status/1749794201771098553","","Ethereum + Arbitrum + StarkNet + zkSync + Scroll",""
"Polymer Labs",1705968000,"2024-01-23",23000000,"Series A","Layer 2 that employs the Inter-Blockchain Communication (IBC) Protocol and Optimism Stack to serve as the Interoperability Hub for Ethereum","Blockchain Capital + Maven 11 + Distributed Global","L2","https://x.com/Polymer_Labs/status/1749810016738279542","","","Coinbase Ventures + Placeholder + Digital Currency Group + North Island Ventures + Figment Capital"
"Scallop Protocol",1705881600,"2024-01-22","","Strategic "," peer-to-peer Money Market for the Sui ecosystem ","Cetus Protocol","DeFi","https://x.com/Scallop_io/status/1749210527501562076","","Sui",""
"Cadence",1705881600,"2024-01-22","","Strategic ","Intent-centric Perpetuals Aggregator ","","MEV","https://x.com/CadenceProtocol/status/1749260824953430324","","Ethereum","Dewhales Capital + CSP DAO + FourMoons + Scott Lewis + Boz Menzalji + Aniket Jindal + Stephen Tong + Jasraj Bedi + Defi Dad + Nomatic + Bluntz Capital + Ryon Nixon"
"AMBBi",1705795200,"2024-01-21","","Strategic ","BRC20 inscriptions","","BRC20","https://x.com/ChainwirePR/status/1748948597482082549","","BTC",""
"Root Protocol",1705622400,"2024-01-19",10000000,"Seed","an operating system with the composition of an intent-centric aggregator of digital identity, social network, and more to enable unified access to Web3","Animoca Brands","Infrastructure","https://x.com/0xRootLabs/status/1748337496579244180","100","","Dao5 + Shima Capital + Gate Labs + DFG + Signum Capital + Ankr + Digital Strategies + CMS + Genblock Capital + Cypher Capital + Meltem Demirors + Tekin Salimi + Lucy Gazmararian + Evin McMullen + Ben Lakoff"
